Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,8,2,-28,26,-26,-27.99691905869978,26.05160232729223,-25.994105947605128,0.31555344468362334,12.561500300012995
10,100,8,2,-28,26,-26,-27.99964363666878,13.224591897897467,-25.93712559127619,0.38255190869538525,11.914825200015912
10,100,8,2,-28,26,-26,-27.996001048786564,25.98077342985899,-26.07413433584248,0.3153658560189654,12.828132099995855
10,100,8,2,-22,-24,-20,-21.998176763496616,-23.99488223883717,-20.003108510356586,0.3171106478336305,10.169611899997108
10,100,8,2,-22,-24,-20,-21.999247206671864,-10.825049825435272,-19.969325834999175,0.36042404041949705,10.346690100006526
10,100,8,2,-22,-24,-20,-21.999895559031316,-11.256529313297884,-19.9865416782677,0.3604060542904277,10.109156699996674
10,100,8,2,-22,-24,-20,-21.995885039078022,-10.857155713009416,-20.00549078292014,0.36034130422577826,11.275742099998752
10,100,8,2,-22,-24,-20,-21.996332054508116,-11.29616552828417,-19.994844205082273,0.36047440158089106,10.346765199996298
10,100,8,2,-22,-24,-20,-21.998294518188224,-11.330463621423212,-19.969917350509753,0.3604276376453109,10.579309299995657
10,100,8,2,-25,-26,-22,-25.099947824642886,-25.852735904326188,-21.87188548216826,0.3369871450696367,9.324897200014675
10,100,8,2,-25,-26,-22,-25.136986516356927,-5.819732550443187,-21.898906449363352,0.3720307901911384,8.6043596000236
10,100,8,2,-25,-26,-22,-25.086956978588272,-26.074277173011616,-22.322710056703578,0.3387232278234462,9.271292699995684
10,100,8,2,-25,-26,-22,-25.136582311691978,-1.9576277991904736,-21.681020788558932,0.3741742828673977,9.74898370000301
10,100,8,2,-25,-26,-22,-25.097304265708228,-25.840563788883646,-21.90547243148327,0.3371022790990027,8.74977840000065
10,100,8,2,-25,-26,-22,-25.10414358671688,-6.908284854309304,-21.773399462529774,0.37159265489567656,8.998110799991991
10,100,5,5,24,-29,-25,5.610187511468061,30.0,-1.0449654307622616,0.4999999975198117,3.6675840000098106
10,100,5,5,24,-29,-25,22.27642801851765,-30.0,-23.439849653247794,0.3422903267109419,4.029056300001685
10,100,5,5,24,-29,-25,2.6387168245368002,30.0,0.1851156673792998,0.4999999975198117,3.640977600007318
10,100,5,5,24,-29,-25,22.27676285915542,-30.0,-23.441021363717443,0.3422903267109419,4.130180799984373
10,100,5,5,24,-29,-25,22.275239126768945,-30.0,-23.44494680765427,0.3422903267109419,3.8978443999949377
10,100,5,5,24,-29,-25,22.28991678001704,-30.0,-23.45036626487652,0.3422903267109419,4.025448000000324
10,100,5,5,-29,-28,-26,-24.731930433398926,-28.600879078465773,-27.04902354579994,0.3096271370496644,3.637835100002121
10,100,5,5,-29,-28,-26,-28.135743259138113,-28.317431811954773,-26.51246041845297,0.30926831664251636,3.859776299999794
10,100,5,5,-29,-28,-26,-27.98882000065126,-28.227060793491088,-26.290906532621353,0.30926831664251636,4.1257558000215795
10,100,5,5,-29,-28,-26,-29.95298380848841,-28.280953660292955,-26.346469131541298,0.31683833280271156,4.054130799981067
10,100,5,5,-29,-28,-26,-28.002116596858436,-28.222599609910237,-26.32809726312417,0.30926831664251636,3.831427500001155
10,100,5,5,-29,-28,-26,-28.04342664308472,-28.22234917715602,-26.31292287671159,0.30926831664251636,3.974599999986822
10,100,5,5,-25,-26,27,-23.60905693066645,-26.16195948861314,26.746550327660973,0.30077488321712903,3.922869600006379
10,100,5,5,-25,-26,27,5.472325454666884,30.0,3.486252957093931,0.49999999757191516,3.8315450999944005
10,100,5,5,-25,-26,27,-23.548942614462096,30.0,3.4428376016529603,0.49999999757191516,3.6636066999926697
10,100,5,5,-25,-26,27,-22.36986446773067,-30.0,18.988112232412917,0.41812996605132224,3.8544606000068597
10,100,5,5,-25,-26,27,0.6479500872859181,30.0,-4.920528377407553,0.49999999756229685,3.7075480000057723
10,100,5,5,-25,-26,27,-24.554662932138314,-26.147722799005177,26.876067628991684,0.302163356389875,4.129369600006612
10,100,5,5,-28,-24,-22,-27.399932668604315,-24.06239695227682,-22.172816039486424,0.2937506769474857,3.777460899989819
10,100,5,5,-28,-24,-22,-26.963843908411935,-24.06677804444539,-22.184120562798125,0.2934613564900428,3.86025779999909
10,100,5,5,-28,-24,-22,-26.827433568447656,-23.983332712655255,-21.911231811610683,0.2937145118903053,4.029489899985492
10,100,5,5,-28,-24,-22,-26.81123440843934,-23.939003376052323,-21.83279287330043,0.2942027401622402,3.787361599999713
10,100,5,5,-28,-24,-22,-26.450795169542637,-23.989421001481624,-21.962364535595526,0.29450110188397827,4.0280981000105385
10,100,5,5,-28,-24,-22,-25.501821670390314,-24.088855948282326,-22.22430185714015,0.2954956409564381,3.9443774999817833
10,100,5,5,29,-26,24,26.85405857918869,-26.047391835417464,24.063548061425482,0.31071236160739113,3.921351600001799
10,100,5,5,29,-26,24,26.042654450153204,-26.351360880206517,24.402974909703058,0.30867148783607823,4.071590499981539
10,100,5,5,29,-26,24,26.890849859872162,-26.58436687732231,25.095052699112717,0.3037144858899767,3.7976316999993287
10,100,5,5,29,-26,24,-22.75564410636308,-30.0,-30.0,0.4757952150999968,3.7056064999778755
10,100,5,5,29,-26,24,25.718043553479514,-26.529600557141208,24.681171662312728,0.30470662296798695,4.074218499998096
10,100,5,5,29,-26,24,26.89182687528632,-26.589885928309812,25.098291883621847,0.3037144858899767,3.871534599980805
10,100,5,5,25,-24,-21,22.626586105233756,-24.101736564927986,-20.751502608939386,0.28684315102603664,3.795080899988534
10,100,5,5,25,-24,-21,22.899193679360017,-23.954595791550155,-21.16306814559206,0.28514339333855965,3.8429565000114962
