Npart	Niter	posx	posy	Ix	Iy	Itheta	Ox	Oy	Otheta	f	t										
10	100	2	8	6	-20	-12	6,006675154	-19,99963539	-12,00145005	0,286484228	10,7397768										
10	100	2	8	6	-20	-12	6,003734825	-19,99234645	-12,02454406	0,28681771	10,5959561										
10	100	2	8	6	-20	-12	6,004356896	-19,99978885	-12,00053806	0,286484228	10,2094752										
10	100	2	8	6	-20	-12	6,000206214	-19,9960792	-12,0360973	0,286672864	9,970105										
10	100	2	8	6	-20	-12	6,001706235	-19,9997625	-12,00032405	0,286426964	10,0477788										
10	100	2	8	6	-20	-12	6,00304826	-19,99997368	-12,00160975	0,286426964	10,7647361										
10	100	2	8	28	26	-6	28,00123959	4,851882171	-5,952700139	0,372970978	8,3243994										
10	100	2	8	28	26	-6	28,00143983	4,902658767	-5,999858262	0,372854313	8,9891755										
10	100	2	8	28	26	-6	28,00095508	3,828067298	-5,999291216	0,373040346	8,7689275										
10	100	2	8	28	26	-6	28,00089197	4,901704084	-5,999798803	0,372854313	9,2613644										
10	100	2	8	28	26	-6	28,00075342	25,96152572	-5,945529165	0,344681133	8,3242162										
10	100	2	8	28	26	-6	28,0029898	4,891169809	-5,998461563	0,372854313	8,9222482										
10	100	2	8	-22	10	20	-21,99953284	10,05068036	20,07943275	0,303708994	9,6365088										
10	100	2	8	-22	10	20	-21,99284102	10,05419987	20,09671517	0,303922195	8,9823815										
10	100	2	8	-22	10	20	-21,99556774	9,990971072	20,0043516	0,303307464	9,6657496										
10	100	2	8	-22	10	20	-21,99789512	10,02207936	20,02821599	0,303769401	9,329488										
10	100	2	8	-22	10	20	-21,99936368	10,03848537	20,08280273	0,303701887	8,774454										
10	100	2	8	-22	10	20	-21,99965356	10,04257695	20,08268835	0,303701887	8,7621673										
10	100	2	8	-26	-16	-23	-25,99981572	-15,99322556	-22,9987537	0,313510069	10,7608372										
10	100	2	8	-26	-16	-23	-25,99932941	-15,97729584	-23,00222087	0,313825669	10,459732										
10	100	2	8	-26	-16	-23	-12,71083525	-15,9911882	-23,04171698	0,430740647	9,7998748										
10	100	2	8	-26	-16	-23	-12,6826817	-15,9821562	-22,99740852	0,430740647	10,0886027										
